Country,Country_Code,Year,Arrivals_in_Thousands,Departures_in_Thousands,Expenditures_in_USD_Millions,Receipts_in_USD_Millions
Denmark,DNK,2007,9832.0,6564.0,5978.0,8830.0
Dominican Republic,DOM,2007,3980.0,443.0,4064.0,531.0
Algeria,DZA,2007,1743.0,1499.0,334.0,502.0
East Asia & Pacific (excluding high income),EAP,2007,109659.556498255,62031.07540556871,93912.1073186718,55316.9818445539
Early-demographic dividend,EAR,2007,151698.94054589298,98580.6319837385,127747.04918652699,101372.338076934
East Asia & Pacific,EAS,2007,177102.89907946298,209702.886266301,193594.06642611604,182914.41993614397
Europe & Central Asia (excluding high income),ECA,2007,100661.19246111199,98204.4999605698,54019.752354366305,42342.5058170769
Europe & Central Asia,ECS,2007,490448.231886891,520967.129497627,499249.511089295,474159.082252605
Ecuador,ECU,2007,937.0,801.0,626.0,733.0
"Egypt, Arab Rep.",EGY,2007,10610.0,,10327.0,2886.0
Euro area,EMU,2007,293226.0,221483.310808629,320614.193,275186.224
Eritrea,ERI,2007,81.0,,61.0,
Spain,ESP,2007,58666.0,11276.0,59910.0,19870.0
Estonia,EST,2007,1900.0,677.0,1416.0,804.0
Ethiopia,ETH,2007,358.0,,790.0,107.0
European Union,EUU,2007,385690.0,403096.61647431896,430856.193,408117.224
Fragile and conflict affected situations,FCS,2007,15369.3385703879,,12976.7950159784,11489.8661383109
Finland,FIN,2007,2472.0,5749.0,4287.0,4812.0
Fiji,FJI,2007,540.0,120.0,722.0,106.0
France,FRA,2007,80853.0,28103.0,63902.0,46051.0
Faroe Islands,FRO,2007,,,,
"Micronesia, Fed. Sts.",FSM,2007,21.1,,25.0,7.0
Gabon,GAB,2007,,,26.0,328.0
United Kingdom,GBR,2007,30870.0,69450.0,51345.0,90243.0
Georgia,GEO,2007,1052.0,1473.0,440.0,277.0
Ghana,GHA,2007,587.0,,990.0,816.0
Gibraltar,GIB,2007,,,,
Guinea,GIN,2007,30.0,,1.1,96.0
"Gambia, The",GMB,2007,143.0,,87.0,13.0
Guinea-Bissau,GNB,2007,15.6,,28.4,40.7
Equatorial Guinea,GNQ,2007,,,,
Greece,GRC,2007,16165.0,,15687.0,3430.0
Grenada,GRD,2007,130.0,,129.0,16.0
Greenland,GRL,2007,,,,
Guatemala,GTM,2007,1628.0,1168.0,1055.0,737.0
Guam,GUM,2007,1225.0,,,
Guyana,GUY,2007,134.0,,50.0,58.0
High income,HIC,2007,573404.4654475809,652263.9576314759,752510.655046629,757273.617620095
"Hong Kong SAR, China",HKG,2007,17154.0,80682.0,18237.0,15042.0
Honduras,HND,2007,804.0,315.0,546.6,309.0
Heavily indebted poor countries (HIPC),HPC,2007,12644.323860384802,,9073.230765392522,8183.052369110171
Croatia,HRV,2007,8559.0,,9617.0,1025.0
Haiti,HTI,2007,386.0,,190.0,331.0
Hungary,HUN,2007,3451.0,17056.0,5628.0,3088.0
IBRD only,IBD,2007,332422.075927164,270353.090305158,273141.253823108,181642.246575924
IDA & IBRD total,IBT,2007,369338.548158246,345506.771180099,295358.464327851,203060.287650255
IDA total,IDA,2007,34882.562048501,,22451.2503020855,21900.293313572798
IDA blend,IDB,2007,9722.0,,5784.9,11482.6023176858
Indonesia,IDN,2007,5506.0,5158.0,5831.0,6578.0
IDA only,IDX,2007,25261.8103432328,,17265.396726043702,10456.5117984191
Isle of Man,IMN,2007,,,,
India,IND,2007,5082.0,9783.0,11234.0,10690.0
Not classified,INX,2007,,,,
Ireland,IRL,2007,8332.0,7713.0,9263.0,8785.0
"Iran, Islamic Rep.",IRN,2007,2219.0,,1950.0,7335.0
Iraq,IRQ,2007,,,555.0,705.0
Iceland,ISL,2007,485.0,460.0,848.0,1336.0
Israel,ISR,2007,2067.0,4147.0,4234.0,4921.0
Italy,ITA,2007,43654.0,25789.0,46142.0,32755.0
Jamaica,JAM,2007,1701.0,,2142.0,340.0
Jordan,JOR,2007,3431.0,2094.0,2754.0,1024.0
Japan,JPN,2007,8347.0,17295.0,12422.0,37258.0
Kazakhstan,KAZ,2007,5311.0,4449.0,1214.0,1396.0
Kenya,KEN,2007,1686.0,,1514.0,265.0
Kyrgyz Republic,KGZ,2007,1656.0,559.0,392.0,215.0
Cambodia,KHM,2007,2015.0,996.0,1169.0,194.0
Kiribati,KIR,2007,4.7,,3.3,5.5
St. Kitts and Nevis,KNA,2007,123.0,,125.0,12.0
"Korea, Rep.",KOR,2007,6448.0,13325.0,9266.0,24431.0
Kuwait,KWT,2007,293.0,2649.0,530.0,7267.0
Latin America & Caribbean (excluding high income),LAC,2007,53923.0,36968.430064181295,45970.6,37158.88915394081
Lao PDR,LAO,2007,1142.0,,190.0,14.0
Lebanon,LBN,2007,1017.0,,5796.0,3914.0
Liberia,LBR,2007,,,131.0,48.0
Libya,LBY,2007,38.0,,99.0,1010.0
St. Lucia,LCA,2007,287.0,,302.0,42.0
Latin America & Caribbean,LCN,2007,68956.48242866629,42019.810704011,63537.499617925,42902.6044907551
Least developed countries: UN classification,LDC,2007,15446.8051286879,,9621.70045619476,7558.88126076673
Low income,LIC,2007,13578.610546923499,,10412.1926538267,4728.07409940318
Liechtenstein,LIE,2007,58.3,,,
Sri Lanka,LKA,2007,494.0,862.0,750.0,709.0
Lower middle income,LMC,2007,88671.5005477467,76193.69550366829,65533.511282364096,48692.7780905381
Low & middle income,LMY,2007,342912.759743768,277704.362943429,270113.216175228,192197.380127627
Lesotho,LSO,2007,300.0,,31.0,276.0
Late-demographic dividend,LTE,2007,216727.957856567,203431.66227350401,188775.34761790303,145554.345130458
Lithuania,LTU,2007,1486.0,1661.0,1154.0,1144.0
Luxembourg,LUX,2007,914.0,1132.0,4351.0,3491.0
Latvia,LVA,2007,1653.0,3398.0,880.0,1021.0
"Macao SAR, China",MAC,2007,12945.0,599.0,11198.0,608.0
St. Martin (French part),MAF,2007,,,,
Morocco,MAR,2007,7408.0,2669.0,8307.0,1418.0
Monaco,MCO,2007,328.0,,,
Moldova,MDA,2007,70.0,,229.0,290.0
Madagascar,MDG,2007,344.0,,395.0,188.0
Maldives,MDV,2007,676.0,102.0,1515.0,152.0
Middle East & North Africa,MEA,2007,67057.7472683947,,63073.1049201966,69209.1485108014
Mexico,MEX,2007,21606.0,15257.0,14055.0,9918.0
Marshall Islands,MHL,2007,7.2,,3.3,24.3
Middle income,MIC,2007,326626.608293573,249580.49608277003,261218.058611828,187503.16297063002
North Macedonia,MKD,2007,230.0,,219.0,147.0
Mali,MLI,2007,164.0,,227.0,201.0
Malta,MLT,2007,1244.0,280.0,1185.0,284.0
Myanmar,MMR,2007,716.0,,97.0,39.0
Middle East & North Africa (excluding high income),MNA,2007,40142.2688742182,,36997.8,20690.2
Montenegro,MNE,2007,984.0,,660.0,58.0
Mongolia,MNG,2007,452.0,,349.0,218.0
Northern Mariana Islands,MNP,2007,385.0,,,
Mozambique,MOZ,2007,771.0,,182.0,209.0
Mauritania,MRT,2007,,,,
Mauritius,MUS,2007,907.0,213.0,1663.0,384.0
Malawi,MWI,2007,735.0,,43.0,79.0
Malaysia,MYS,2007,20973.0,,17948.0,6600.0
North America,NAC,2007,74376.0,89221.05891470559,162753.0,144340.0
Namibia,NAM,2007,929.0,,542.0,132.0
New Caledonia,NCL,2007,103.0,106.0,142.0,149.0
Niger,NER,2007,48.0,,44.0,48.0
Nigeria,NGA,2007,1212.0,,337.0,6665.0
Nicaragua,NIC,2007,800.0,949.0,277.0,238.0
Netherlands,NLD,2007,11008.0,17523.0,11313.0,17277.0
Norway,NOR,2007,4377.0,3395.0,5322.0,13256.0
Nepal,NPL,2007,527.0,469.0,234.0,402.0
Nauru,NRU,2007,,,,
New Zealand,NZL,2007,2434.0,1978.0,7190.0,3077.0
OECD members,OED,2007,523153.0,552361.154943354,689854.0,679435.0
Oman,OMN,2007,1223.0,2263.0,905.0,952.0
Other small states,OSS,2007,24313.7994408935,,,10099.602066158199
Pakistan,PAK,2007,840.0,,912.0,2075.0
Panama,PAN,2007,1103.0,314.0,1806.0,457.0
Peru,PER,2007,1916.0,1915.0,2007.0,1243.0
Philippines,PHL,2007,3092.0,3066.0,5523.0,3351.0
Palau,PLW,2007,88.0,,68.0,17.1
Papua New Guinea,PNG,2007,104.0,,4.5,81.0
Poland,POL,2007,14975.0,47561.0,11728.0,8339.0
Pre-demographic dividend,PRE,2007,12408.5906258419,,8657.5999061042,14647.1250127614
Puerto Rico,PRI,2007,3687.0,1441.0,3414.0,1743.0
"Korea, Dem. People’s Rep.",PRK,2007,,,,
Portugal,PRT,2007,6788.0,20989.0,12948.0,4866.0
Paraguay,PRY,2007,416.0,242.0,121.0,184.0
West Bank and Gaza,PSE,2007,264.0,,99.0,395.0
Pacific island small states,PSS,2007,923.978257796416,,1123.57746573003,256.95549609399905
Post-demographic dividend,PST,2007,521320.0,578169.896109208,685256.0,675574.077348474
French Polynesia,PYF,2007,218.0,,537.0,153.0
Qatar,QAT,2007,964.0,,,
Romania,ROU,2007,7722.0,10980.0,2073.0,1723.0
Russian Federation,RUS,2007,22909.0,34285.0,12426.0,22456.0
Rwanda,RWA,2007,566.0,,177.0,98.0
South Asia,SAS,2007,8067.461056722999,15286.675258785,14800.6464844949,14608.6306773629
Saudi Arabia,SAU,2007,11531.0,4126.0,6907.0,21031.0
Sudan,SDN,2007,436.0,,390.0,1477.0
Senegal,SEN,2007,875.0,,622.0,352.0
Singapore,SGP,2007,7957.0,6024.0,9066.0,13503.0
Solomon Islands,SLB,2007,13.7,,33.1,35.6
Sierra Leone,SLE,2007,32.2,71.0,22.0,17.0
El Salvador,SLV,2007,1339.0,1012.0,793.0,363.0
San Marino,SMR,2007,69.0,,,
Somalia,SOM,2007,,,,
Serbia,SRB,2007,696.0,,1018.0,1203.0
Sub-Saharan Africa (excluding high income),SSA,2007,29740.993809788106,,24782.866217021303,22880.6427385543
South Sudan,SSD,2007,,,,
Sub-Saharan Africa,SSF,2007,29907.497307494104,,25206.435912102002,22953.8292713835
Small states,SST,2007,30896.8667328022,,,11799.6561830671
Sao Tome and Principe,STP,2007,11.8,,5.0,0.7
Suriname,SUR,2007,167.0,,73.0,28.0
Slovak Republic,SVK,2007,1685.0,3603.0,2352.0,1825.0
Slovenia,SVN,2007,1751.0,2496.0,2465.0,1261.0
Sweden,SWE,2007,5224.0,12692.0,11889.0,13646.0
Eswatini,SWZ,2007,869.0,1130.0,32.2,63.0
Sint Maarten (Dutch part),SXM,2007,469.0,,665.0,83.4
Seychelles,SYC,2007,161.0,58.0,396.0,73.0
Syrian Arab Republic,SYR,2007,4158.0,4196.0,2972.0,710.0
Turks and Caicos Islands,TCA,2007,265.0,,,
Chad,TCD,2007,77.0,,,
East Asia & Pacific (IDA & IBRD countries),TEA,2007,108355.358735484,61256.0731450348,93861.6635002279,55229.1505684691
Europe & Central Asia (IDA & IBRD countries),TEC,2007,124405.813373721,153773.06136125998,75441.5855376353,51665.2773212499
Togo,TGO,2007,86.0,,38.0,59.0
Thailand,THA,2007,14464.0,4018.0,20625.0,6889.0
Tajikistan,TJK,2007,,,16.5,7.0
Turkmenistan,TKM,2007,8.2,38.0,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2007,58001.0,40104.460598702106,49597.6,39059.0
Timor-Leste,TLS,2007,22.0,,26.0,5.0
Middle East & North Africa (IDA & IBRD countries),TMN,2007,39883.7791997284,,36898.8,20295.2
Tonga,TON,2007,46.0,,15.2,17.3
South Asia (IDA & IBRD),TSA,2007,8067.461056722999,15286.675258785,14800.6464844949,14608.6306773629
Sub-Saharan Africa (IDA & IBRD countries),TSS,2007,29907.497307494104,,25206.435912102002,22953.8292713835
Trinidad and Tobago,TTO,2007,449.0,,621.0,155.0
Tunisia,TUN,2007,6762.0,2743.0,3373.0,530.0
Turkey,TUR,2007,26122.0,4956.0,21662.0,4254.0
Tuvalu,TUV,2007,1.1,2.4,1.5,6.89
Tanzania,TZA,2007,692.0,,1215.0,616.0
Uganda,UGA,2007,642.0,272.0,402.0,220.0
Ukraine,UKR,2007,23122.0,17335.0,5320.0,4022.0
Upper middle income,UMC,2007,238347.33000891298,163743.44329712298,195648.033032145,138845.98603582502
Uruguay,URY,2007,1753.0,635.0,928.0,354.0
United States,USA,2007,56135.0,64049.0,144223.0,112788.0
Uzbekistan,UZB,2007,903.0,,51.0,
St. Vincent and the Grenadines,VCT,2007,90.0,,110.0,20.0
"Venezuela, RB",VEN,2007,756.0,1410.0,972.0,2292.0
British Virgin Islands,VGB,2007,358.0,166.0,451.0,
Virgin Islands (U.S.),VIR,2007,587.0,,1513.0,
Vietnam,VNM,2007,4229.0,,3750.0,1220.0
Vanuatu,VUT,2007,81.0,16.0,142.0,13.0
World,WLD,2007,920175.4823771961,1069866.87128422,1022579.9699849399,950154.1799494509
Samoa,WSM,2007,117.0,52.0,102.4,19.8
Kosovo,XKX,2007,,,,
"Yemen, Rep.",YEM,2007,948.0,,425.0,247.0
South Africa,ZAF,2007,9091.0,,10226.0,6104.0
Zambia,ZMB,2007,897.0,,599.0,120.0
Zimbabwe,ZWE,2007,2506.0,547.0,365.0,
Aruba,ABW,2008,827.0,,1352.0,272.0
Afghanistan,AFG,2008,,,36.0,28.0
Angola,AGO,2008,294.0,,293.0,447.0
Albania,ALB,2008,1247.0,3716.0,1849.0,1644.0
Andorra,AND,2008,2059.0,,,
Arab World,ARB,2008,74568.6218873097,,63558.7424314877,58860.2787561914
United Arab Emirates,ARE,2008,,,7162.0,13288.0
Argentina,ARG,2008,4700.0,4614.0,5273.0,5987.0
Armenia,ARM,2008,558.0,516.0,564.0,494.0
American Samoa,ASM,2008,24.3,,,
Antigua and Barbuda,ATG,2008,266.0,,334.0,58.0
Australia,AUS,2008,5586.0,5808.0,27189.0,25557.0
Austria,AUT,2008,21935.0,9677.0,21630.0,11432.0
Azerbaijan,AZE,2008,1043.0,2162.0,382.0,456.0
Burundi,BDI,2008,202.0,,1.6,151.0
Belgium,BEL,2008,7165.0,8887.0,12018.0,19514.0
Benin,BEN,2008,188.0,,236.4,102.0
Burkina Faso,BFA,2008,272.0,,82.0,110.0
Bangladesh,BGD,2008,467.0,875.0,75.0,735.0
Bulgaria,BGR,2008,5780.0,5727.0,4852.0,2602.0
Bahrain,BHR,2008,8631.0,,1927.0,704.0
"Bahamas, The",BHS,2008,1463.0,,2155.0,460.0
Bosnia and Herzegovina,BIH,2008,322.0,,913.0,345.0
Belarus,BLR,2008,90.5,380.0,585.0,860.0
Belize,BLZ,2008,245.0,,278.0,44.0
Bermuda,BMU,2008,264.0,192.0,431.0,459.0
Bolivia,BOL,2008,594.0,589.0,302.0,381.0
Brazil,BRA,2008,5050.0,5238.0,6109.0,13269.0
Barbados,BRB,2008,568.0,,1244.0,279.0
Brunei Darussalam,BRN,2008,226.0,,242.0,459.0
Bhutan,BTN,2008,28.0,,47.0,65.0
Botswana,BWA,2008,2101.0,,510.7,229.7
Central African Republic,CAF,2008,30.6,,11.8,56.0
Canada,CAN,2008,17142.0,27034.0,18191.0,33844.0
Central Europe and the Baltics,CEB,2008,55674.0,110599.0,58399.0,33565.0
Switzerland,CHE,2008,8608.0,11147.0,17596.0,13282.0
Channel Islands,CHI,2008,,,,
Chile,CHL,2008,2710.0,1899.5,2481.0,1386.0
China,CHN,2008,53049.0,45844.0,40843.0,36157.0
Cote d'Ivoire,CIV,2008,205.0,,129.0,612.0
Cameroon,CMR,2008,487.0,,167.0,563.0
"Congo, Dem. Rep.",COD,2008,50.0,,0.7,127.0
"Congo, Rep.",COG,2008,62.0,,37.0,217.0
Colombia,COL,2008,2317.0,2042.0,2936.0,2775.0
Comoros,COM,2008,14.8,,37.4,31.1
Cabo Verde,CPV,2008,285.0,,432.0,143.0
Costa Rica,CRI,2008,2089.0,528.0,2811.0,753.0
Caribbean small states,CSS,2008,5746.0,,7652.0,1442.0
Cuba,CUB,2008,2316.0,202.0,2535.0,
Curacao,CUW,2008,409.0,,383.0,229.0
Cayman Islands,CYM,2008,303.0,,518.0,130.0
Cyprus,CYP,2008,2404.0,1210.0,3201.919,1969.088
Czech Republic,CZE,2008,6649.0,9665.0,9228.0,5029.0
Germany,DEU,2008,24884.0,86201.0,53397.0,105647.0
Djibouti,DJI,2008,54.0,,7.8,15.5
Dominica,DMA,2008,81.0,,76.0,11.0
Denmark,DNK,2008,9564.0,6347.0,6281.0,9698.0
Dominican Republic,DOM,2008,3980.0,413.0,4166.0,532.0
Algeria,DZA,2008,1772.0,1539.0,473.0,613.0
East Asia & Pacific (excluding high income),EAP,2008,110339.54338716799,67956.99369780721,100671.75888993598,66029.9349344767
Early-demographic dividend,EAR,2008,167091.759249207,100690.995930682,140564.912807382,107378.809585661
East Asia & Pacific,EAS,2008,175804.96891877698,214634.066601668,215171.189985088,200222.852898738
Europe & Central Asia (excluding high income),ECA,2008,109881.46135209699,106070.47652223299,66339.9209853358,49739.942433541495
Europe & Central Asia,ECS,2008,493221.1126698321,537320.6181897089,542154.1726291961,517483.40396191704
Ecuador,ECU,2008,1005.0,815.0,745.0,790.0
"Egypt, Arab Rep.",EGY,2008,12296.0,,12104.0,3390.0
Euro area,EMU,2008,290467.0,226001.706079576,343883.919,297502.088
Eritrea,ERI,2008,70.0,,46.0,
Spain,ESP,2008,57192.0,11229.0,64422.0,20540.0
Estonia,EST,2008,2222.0,692.0,1643.0,939.0
Ethiopia,ETH,2008,383.0,,1184.0,156.0
European Union,EUU,2008,381160.0,414455.49672233796,459266.919,442528.088
Fragile and conflict affected situations,FCS,2008,17379.0911688112,,14721.193664742901,12808.5910187723
Finland,FIN,2008,2494.0,5854.0,4874.0,5577.0
Fiji,FJI,2008,585.0,124.0,952.0,111.0
France,FRA,2008,79218.0,25506.0,68001.0,50361.0
Faroe Islands,FRO,2008,,,,
"Micronesia, Fed. Sts.",FSM,2008,25.7,,27.0,7.1
Gabon,GAB,2008,,,26.5,490.0
United Kingdom,GBR,2008,30142.0,69011.0,48621.0,94955.0
Georgia,GEO,2008,1290.0,1872.0,505.0,337.0
Ghana,GHA,2008,698.0,,970.0,870.0
Gibraltar,GIB,2008,,,,
Guinea,GIN,2008,24.0,,2.4,30.0
"Gambia, The",GMB,2008,147.0,,80.2,12.0
Guinea-Bissau,GNB,2008,18.0,,38.2,46.1
Equatorial Guinea,GNQ,2008,,,,
Greece,GRC,2008,15939.0,3765.0,17586.0,3946.0
Grenada,GRD,2008,130.0,,127.0,11.0
Greenland,GRL,2008,,,,
Guatemala,GTM,2008,1715.0,1277.0,1335.0,740.0
Guam,GUM,2008,1142.0,,,
Guyana,GUY,2008,130.0,,59.0,52.0
High income,HIC,2008,572049.475536219,660944.195500893,822129.7340510429,808243.3744598051
"Hong Kong SAR, China",HKG,2008,17319.0,81911.0,20236.0,16095.0
Honduras,HND,2008,869.0,387.0,619.8,385.0
Heavily indebted poor countries (HIPC),HPC,2008,13494.5324628671,,10044.3242979019,8890.83580660597
Croatia,HRV,2008,8665.0,2357.0,11615.0,1167.0
Haiti,HTI,2008,258.0,,360.0,383.0
Hungary,HUN,2008,3516.0,17162.0,7533.0,3857.0
IBRD only,IBD,2008,345501.186618033,288464.625605106,304053.268375676,212226.527756572
IDA & IBRD total,IBT,2008,385136.488882228,369571.82754656696,329356.39365965,240046.453598385
IDA total,IDA,2008,37567.552275116795,,25592.8130387332,28575.394623961798
IDA blend,IDB,2008,8981.0,,6480.7,16656.309946404
Indonesia,IDN,2008,6234.0,5486.0,8150.0,8801.0
IDA only,IDX,2008,28812.46451798,,19808.4488379591,12004.264481760401
Isle of Man,IMN,2008,,,,
India,IND,2008,5283.0,10868.0,12462.0,12083.0
Not classified,INX,2008,,,,
Ireland,IRL,2008,8026.0,7877.0,9967.0,10539.0
"Iran, Islamic Rep.",IRN,2008,2034.0,,1978.0,8270.0
Iraq,IRQ,2008,864.0,,867.0,813.0
Iceland,ISL,2008,502.0,414.0,881.0,1103.0
Israel,ISR,2008,2572.0,4207.0,5271.0,4967.0
Italy,ITA,2008,42734.0,26464.0,46191.0,30926.0
Jamaica,JAM,2008,1767.0,,2222.0,312.0
Jordan,JOR,2008,3729.0,1972.0,3539.0,1140.0
Japan,JPN,2008,8351.0,15987.0,13781.0,38971.0
Kazakhstan,KAZ,2008,4117.0,4239.0,1255.0,1361.0
Kenya,KEN,2008,1141.0,,1398.0,266.0
Kyrgyz Republic,KGZ,2008,2379.0,2273.0,569.0,450.0
Cambodia,KHM,2008,2125.0,786.0,1280.0,180.0
Kiribati,KIR,2008,3.9,,3.3,6.6
St. Kitts and Nevis,KNA,2008,128.0,,110.0,15.0
"Korea, Rep.",KOR,2008,6891.0,11996.0,13456.0,21447.0
Kuwait,KWT,2008,259.0,,610.0,8341.0
Latin America & Caribbean (excluding high income),LAC,2008,56136.0,37881.5995723172,49804.8,42364.2385807647
Lao PDR,LAO,2008,1295.0,,280.0,51.0
Lebanon,LBN,2008,1333.0,,6317.0,4297.0
Liberia,LBR,2008,,,158.0,58.0
Libya,LBY,2008,34.0,,99.0,1339.0
St. Lucia,LCA,2008,296.0,,311.0,45.0
Latin America & Caribbean,LCN,2008,71898.6310125588,42939.800191238704,68185.96996839129,48190.849253332395
Least developed countries: UN classification,LDC,2008,16667.274170262197,,11585.020923301001,8420.004401596809
Low income,LIC,2008,15821.955363026998,,12866.651200186001,5801.241357003641
Liechtenstein,LIE,2008,58.5,,,
Sri Lanka,LKA,2008,438.0,966.0,803.0,777.0
Lower middle income,LMC,2008,95201.4640086536,78203.0847177865,72133.23658327949,60257.4408650745
Low & middle income,LMY,2008,360526.862690376,298194.466118491,300251.560400493,226741.89305285
Lesotho,LSO,2008,293.0,,30.0,248.0
Late-demographic dividend,LTE,2008,218878.30270797398,222270.38885676296,209038.984118541,172149.560539775
Lithuania,LTU,2008,1611.0,1757.0,1248.0,1530.0
Luxembourg,LUX,2008,877.0,1190.0,4918.0,3839.0
Latvia,LVA,2008,1684.0,3782.0,801.0,1139.0
"Macao SAR, China",MAC,2008,10610.0,606.0,13749.0,695.0
St. Martin (French part),MAF,2008,,,,
Morocco,MAR,2008,7879.0,3421.0,8885.0,1910.0
Monaco,MCO,2008,324.0,,,
Moldova,MDA,2008,73.0,,293.0,359.0
Madagascar,MDG,2008,375.0,,440.0,264.0
Maldives,MDV,2008,683.0,123.0,1559.0,211.0
Middle East & North Africa,MEA,2008,77060.74952579041,,71277.9566528562,70959.04981561459
Mexico,MEX,2008,22931.0,14527.0,14726.0,10246.0
Marshall Islands,MHL,2008,6.0,,2.7,24.5
Middle income,MIC,2008,342082.921410317,266923.903621872,289371.24918419396,221003.501741998
North Macedonia,MKD,2008,255.0,,262.0,190.0
Mali,MLI,2008,190.0,,286.0,228.0
Malta,MLT,2008,1291.0,261.0,1082.0,307.0
Myanmar,MMR,2008,731.0,,80.0,49.7
Middle East & North Africa (excluding high income),MNA,2008,44695.9094476355,,42386.8,23976.5
Montenegro,MNE,2008,1031.0,,859.0,80.0
Mongolia,MNG,2008,446.0,,272.0,249.0
Northern Mariana Islands,MNP,2008,388.0,,,
Mozambique,MOZ,2008,1193.0,,213.0,241.0
Mauritania,MRT,2008,,,,
Mauritius,MUS,2008,930.0,226.0,1823.0,489.0
Malawi,MWI,2008,742.0,,43.0,86.0
Malaysia,MYS,2008,22052.0,,18553.0,7724.0
North America,NAC,2008,75413.0,90704.20069926658,183343.0,154141.0
Namibia,NAM,2008,931.0,,484.0,114.0
New Caledonia,NCL,2008,104.0,112.0,267.0,354.0
Niger,NER,2008,73.0,,86.0,98.0
Nigeria,NGA,2008,1313.0,,958.0,11007.0
Nicaragua,NIC,2008,858.0,942.0,303.0,265.0
Netherlands,NLD,2008,10104.0,18399.0,12874.0,19805.0
Norway,NOR,2008,4347.0,,5702.0,15118.0
Nepal,NPL,2008,500.0,561.0,353.0,545.0
Nauru,NRU,2008,,,,
New Zealand,NZL,2008,2371.0,1967.0,6961.0,3006.0
OECD members,OED,2008,523968.0,558436.879808985,753292.0,727350.0
Oman,OMN,2008,1373.0,2062.0,1105.0,1197.0
Other small states,OSS,2008,26603.751787773497,,,11190.645234194999
Pakistan,PAK,2008,823.0,,986.0,2163.0
Panama,PAN,2008,1247.0,369.0,2208.0,560.0
Peru,PER,2008,2058.0,1913.0,2396.0,1432.0
Philippines,PHL,2008,3139.0,3355.0,3293.0,4285.0
Palau,PLW,2008,81.0,,78.0,19.1
Papua New Guinea,PNG,2008,114.0,,3.7,75.0
Poland,POL,2008,12960.0,50243.0,12895.0,10689.0
Pre-demographic dividend,PRE,2008,12836.7785738011,,9867.31335359389,19866.6752650517
Puerto Rico,PRI,2008,3716.0,1438.0,3535.0,1761.0
"Korea, Dem. People’s Rep.",PRK,2008,,,,
Portugal,PRT,2008,6962.0,,14072.0,5286.0
Paraguay,PRY,2008,428.0,278.0,128.0,214.0
West Bank and Gaza,PSE,2008,387.0,,146.0,477.0
Pacific island small states,PSS,2008,982.543089748505,,1423.55391943228,297.266031957928
Post-demographic dividend,PST,2008,519256.5,583096.431139014,749659.0,723420.3163544971
French Polynesia,PYF,2008,196.0,,737.0,388.0
Qatar,QAT,2008,1405.0,,,
Romania,ROU,2008,8862.0,13072.0,2626.0,2407.0
Russian Federation,RUS,2008,23676.0,36538.0,15821.0,26401.0
Rwanda,RWA,2008,507.0,,224.0,146.0
South Asia,SAS,2008,8365.57760226718,15117.3626036261,16321.0,16607.0
Saudi Arabia,SAU,2008,14757.0,4087.0,6775.0,16005.0
Sudan,SDN,2008,440.0,,255.0,1268.0
Senegal,SEN,2008,867.0,,637.0,276.0
Singapore,SGP,2008,7778.0,6828.0,10615.0,16340.0
Solomon Islands,SLB,2008,16.3,,31.2,40.5
Sierra Leone,SLE,2008,36.0,73.0,34.0,24.4
El Salvador,SLV,2008,1385.0,,711.0,326.0
San Marino,SMR,2008,115.0,,,
Somalia,SOM,2008,,,,
Serbia,SRB,2008,646.0,,1114.0,1448.0
Sub-Saharan Africa (excluding high income),SSA,2008,30436.1596308928,,25018.2598606389,29055.58092759
South Sudan,SSD,2008,,,,
Sub-Saharan Africa,SSF,2008,30600.5931016763,,25454.7074135238,29118.1594557248
Small states,SST,2008,33160.2167299153,,,12641.626005350001
Sao Tome and Principe,STP,2008,14.5,,7.7,0.31
Suriname,SUR,2008,151.0,,83.0,35.0
Slovak Republic,SVK,2008,1767.0,3683.0,3004.0,2596.0
Slovenia,SVN,2008,1958.0,2459.0,2954.0,1610.0
Sweden,SWE,2008,4555.0,13291.0,11732.0,14622.0
Eswatini,SWZ,2008,756.0,1177.0,26.3,59.0
Sint Maarten (Dutch part),SXM,2008,475.0,,667.0,88.1
Seychelles,SYC,2008,159.0,54.0,408.0,64.0
Syrian Arab Republic,SYR,2008,5430.0,5253.0,3176.0,911.0
Turks and Caicos Islands,TCA,2008,352.0,,,
Chad,TCD,2008,61.0,58.0,,
East Asia & Pacific (IDA & IBRD countries),TEA,2008,109019.662160972,67107.95435114841,100622.78968419699,65923.7821227165
Europe & Central Asia (IDA & IBRD countries),TEC,2008,131662.259125066,164773.530460676,90930.7593012741,61564.085130641295
Togo,TGO,2008,74.0,,44.0,68.0
Thailand,THA,2008,14584.0,3908.0,22510.0,6707.0
Tajikistan,TJK,2008,325.0,,23.7,10.8
Turkmenistan,TKM,2008,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2008,60546.0,41019.381080910294,54154.8,44338.0
Timor-Leste,TLS,2008,36.0,,14.0,51.0
Middle East & North Africa (IDA & IBRD countries),TMN,2008,44311.3838119879,,42240.8,23499.5
Tonga,TON,2008,50.0,,18.0,21.3
South Asia (IDA & IBRD),TSA,2008,8365.57760226718,15117.3626036261,16321.0,16607.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2008,30600.5931016763,,25454.7074135238,29118.1594557248
